ID,Biome,Sex,Age,Hemacias,Hemoglobina,Hematocrito,VCM-VGM,HCM-HGM,CHCM-CHGM,LeucocitosTotais,Eosinofilos,Basofilos,Linfocitos,Monocitos,Bastonetes,Segmentados,Neutrofilos,Plaquetas,TGP-ALT,TGO-AST,GamaGT,Ureia,acidourico,Creatinina,CreatininaFosfoquinaseCK-CPK,FosfataseAlcalina,Glicose,ColesterolTotal,ColesterolFracionadoHDL,ColesterolFracionadoLDL,ColesterolFracionadoVLDL,Triglicerideos,ProteinasTotais,Albumina,Globulina,RelaçaoA-G,BilirrubinaTotal,BilirrubinaDireta,BilirrubinaIndireta,Magnesio,Sodio,Potassio,Calcio,Fosforo,Cloro,Ferro,Colinesterase,LinfocitosReativos,LactatoDesidrogenase
BenjaminMartlet,Pantanal,Male,Adult,3.08,,0.342,,,,7.575,1.992,0,2.613,0.148,0.098,2.75,2.848,,13,77,11,,17.844,97.24,125,3,4.551,3.4706,1.7094,1.5281,0.2331,0.4859,69,,46,0.5,2.565,0.171,2.394,0.9864,142,4.8,2.55,1.0013,103,20.764,,,
BenjaminMartlet,Pantanal,Male,Adult,,,,,,,,,,,,,,,,28,87,15,5.355,11.896,61.88,229,9,6.993,2.2533,1.3468,0.8547,0.0518,0.1243,57,16,41,0.4,,0.171,,0.6576,130,,,0.6137,96,13.425,381,,
BenjaminMartlet,Pantanal,Male,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BenjaminMartlet,Pantanal,Male,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BenjaminMartlet,Pantanal,Male,Adult,7.49,,0.31,41.4,,,11.35,2.611,,3.065,0.908,0,4.767,4.767,,15,55,10,4.284,23.792,106.08,,11,9.102,2.6677,1.6835,0.5439,0.4403,0.9718,72,16,56,0.2,3.42,0.855,2.565,0.7809,137,3.9,2.75,0.8721,101,,237,,
VivekTudor,Pantanal,Male,Adult,3.35,,,,,,9.662,1.048,0.048,2.387,0.102,0.15,5.928,6.077,,,60,11,6.426,11.896,79.56,75,,5.217,2.7972,1.554,1.1655,0.0777,0.1356,63,18,45,0.4,5.985,0.684,5.301,0.4932,146,3.4,2.4,,110,15.573,485,,
VivekTudor,Pantanal,Male,Adult,6.41,11.3,0.339,52.8,17.6,33.3,11.56,0,0,1.618,0.462,0,9.479,9.479,251,21,71,16,4.284,11.896,88.4,131,19,6.2715,4.3253,3.2634,0.8288,0.2331,0.5198,63,11,52,0.2,5.13,0.342,4.788,0.5343,130,3.7,2.725,0.8075,97,11.814,182,,
LuisUruguaio,Pantanal,Male,Adult,3.94,7.7,,55.8,19.5,35,8.5,0,0,1.53,0.425,1.275,5.27,6.545,209,25,115,15,5.355,11.896,,113,,,,1.295,0.6993,,,57,12,45,0.3,3.42,1.71,1.71,0.4932,130,3.6,2.075,1.2274,96,20.406,391,,
Sergiao,Pantanal,Male,Adult,6.05,12,0.345,57,19.8,34.7,6.85,0.685,0,3.425,0.274,0.137,2.329,2.466,252,15,61,,5.355,23.792,,88,18,3.996,4.2476,3.1598,0.8547,0.2331,0.5085,65,14,51,0.2,4.959,0.684,4.275,0.6576,131,4.5,,1.292,97,16.647,144,,
Emilio,Pantanal,Male,Adult,6.28,11.5,0.415,66,18.3,27.7,11,0,0,5.5,0.44,0,5.06,5.06,207,20,96,16,4.998,17.844,114.92,223,18,6.993,,,1.6317,0.3885,0.8588,61,13,48,0.2,6.156,0.855,5.301,0.6576,,2.8,2.3,1.3566,114,14.32,259,,
Piccolo,Pantanal,Male,Juvenile,8.63,9,0.27,31,,33.3,5.5,0.33,0,1.595,1.705,0.275,1.375,,,,50,9,3.57,,97.24,132,,5.0505,,,,0.2849,0.6441,59,20,,,,0.171,,0.7398,138,,2.15,,95,21.838,224,,
Machinho,Pantanal,Male,Juvenile,,,,,,,,,,,,,,,,15,109,,4.998,,97.24,163,19,6.4935,3.7814,1.813,1.6058,0.3626,0.791,62,19,43,0.4,2.052,0.513,1.539,,130,,2.475,,92,18.616,529,,
Mirim,Pantanal,Male,Juvenile,5.5,,0.316,,,,7.1,,,,,,,,,12,79,17,4.998,17.844,114.92,79,4,5.1615,,,0.5698,0.2331,0.4859,65,18,47,0.4,3.249,0.684,2.565,0.9864,136,4.5,2.375,1.1951,100,9.129,540,,
Tonico,Pantanal,Male,Juvenile,6.15,10.9,0.383,62.2,17.7,28.4,15.15,,,,,,,,,,76,,5.355,11.896,97.24,220,,5.883,3.3929,2.5641,0.7252,0.0777,0.1921,62,16,46,0.3,5.13,1.71,3.42,0.6165,142,3,2.275,1.4858,108,8.055,139,,
Tonico,Pantanal,Male,Juvenile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonico,Pantanal,Male,Juvenile,7.74,,0.34,,,,14.9,0,,5.364,1.49,0,7.152,7.152,,15,57,14,2.856,23.792,88.4,102,,,3.8332,1.8389,1.3727,,,62,14,48,0.2,2.223,0.171,2.052,0.7809,135,3.8,2.675,1.0982,100,14.32,,,
FelippeLion,Pantanal,Male,Sub-adult,,,,,,,,,,,,,,,,27,,18,4.641,11.896,,606,14,7.8255,2.3569,1.4504,0.8806,,,62,20,42,0.5,6.84,1.71,5.13,,134,,,0.7752,,8.234,536,,
FelippeLion,Pantanal,Male,Sub-adult,9.56,,0.37,38.7,,,12.95,1.295,,4.274,0,0.259,7.123,7.382,,18,72,12,4.284,17.844,97.24,127,13,8.6025,2.4864,1.813,0.6216,0.0518,,61,15,46,0.3,4.617,0.513,4.104,0.6576,128,3.3,2.725,0.646,93,10.919,231,,
SemNome,Pantanal,Male,Sub-adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NicBishop,Pantanal,Male,Sub-adult,4.5,11,0.33,73,24,33.3,8.4,0,,4.2,0.84,0,3.36,3.36,,17,61,12,3.927,11.896,106.08,113,18,5.2725,2.9526,2.4864,,0.3885,0.8588,56,11,45,0.2,4.617,0.171,4.446,0.5343,139,4.1,2.525,0.7106,105,11.635,,,
Caio,Pantanal,Male,Sub-adult,5.4,13.1,0.395,73.1,24.3,33.1,12.2,,,1.098,0.976,0.488,9.638,10.126,,16,71,12,2.856,11.896,106.08,126,13,5.772,3.2634,2.7713,0.4144,0.0777,0.1695,,,45,0.2,5.985,0.684,5.301,0.5343,141,2.9,2.25,1.1951,108,8.055,253,,
RickBarongi,Pantanal,Male,Sub-adult,5.6,13.3,0.44,78.5,23.7,33.1,12.3,0,,3.813,0.246,0.246,7.995,8.241,,18,62,10,7.14,11.896,123.76,,6,3.9405,3.7814,2.5382,0.9842,0.259,0.5876,61,12,49,0.2,5.472,0.513,4.959,,128,4.6,2.7,1.5827,94,14.678,286,,
Sachin,Pantanal,Male,Sub-adult,8.74,,0.39,44.6,,,13.4,0.536,,6.432,0.268,0,6.164,,,19,67,15,5.355,23.792,132.6,148,13,9.3795,2.3569,1.295,0.518,0.5439,1.1978,65,15,50,0.3,3.591,0.855,2.736,0.6987,143,3.2,2.725,0.5814,111,15.215,130,,
Sachin,Pantanal,Male,Sub-adult,7.22,12.7,0.364,50.4,17.5,34.8,7.5,0.225,0,1.5,0.375,0,5.4,5.4,242,22,65,19,4.998,,106.08,97,18,6.6045,2.59,2.0461,0.4403,0.0777,0.1921,68,20,48,0.4,5.643,1.368,4.275,0.4521,134,,2.275,1.0982,93,12.709,235,,
Thor,Pantanal,Male,Sub-adult,6.54,10.5,0.322,50.7,16,31.6,13.4,0.134,0,2.412,0.268,0.67,9.916,10.586,331,,64,15,3.927,17.844,97.24,,29,6.105,3.3411,1.6835,1.2432,0.3885,0.8814,71,15,56,0.2,6.156,0.513,5.643,0.8631,,3.1,2.525,,,9.129,225,,
NelsaoChester,Pantanal,Male,Sub-adult,7.83,,0.36,,,,,,,,,,,,,23,98,15,5.712,5.948,79.56,168,17,7.0485,3.6519,2.4087,1.036,0.2072,0.4407,63,18,45,0.4,,,6.669,0.6576,142,3.4,2.275,0.6783,103,14.141,242,,
Jordano,Pantanal,Male,Sub-adult,11.58,,0.27,,,,13.2,,,,,,,,,22,92,19,9.282,11.896,114.92,772,13,,2.5123,2.0461,,0.1036,0.2147,69,20,49,0.4,4.788,1.539,3.249,0.6576,132,3.7,2.225,0.8075,95,13.783,188,,
